IssueId,IssueKey,CommitId,CommitDate,Subject,CreatedDate,ResolutionDate,TemporalRelation,HoursAfterResolution,AffectedVersions,FixVersions,ChangedFiles,ChangedJavaFiles,ChangedProductionJavaFiles,ProductionFiles
12360237,OPENJPA-100,6055a34b4215b472dce012d28ead7a2a7c6f8f19,2007-01-10T23:06:42Z,"OPENJPA-100: <jar-file> processing bugfix, and logging improvements",2007-01-10T23:06:27Z,2007-01-10T23:07:35Z,INSIDE_LIFECYCLE,,,0.9.7,4,2,2,openjpa-kernel/src/main/java/org/apache/openjpa/meta/AbstractCFMetaDataFactory.java|openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceMetaDataFactory.java
12421534,OPENJPA-1002,e4b87fd6b34dfb2b508b387bf8e365507509eb4f,2009-04-16T23:27:02Z,"Fix for OpenJPA-1002, patch submitted by Ravi Palacherla",2009-03-30T08:25Z,2009-09-16T14:31:48Z,INSIDE_LIFECYCLE,,1.1.0|1.2.1|1.3.0|2.0.0-M2,1.2.0|2.0.0-M3,2,2,1,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/QueryCacheStoreQuery.java
12421534,OPENJPA-1002,09859699f9087e5d7200999cb8eae48bc04aa201,2009-04-28T19:14:40Z,"OpenJPA-1002: fixed select range for Oracle drivers, patch submitted by Amy Yang and Ravi Palacherla",2009-03-30T08:25Z,2009-09-16T14:31:48Z,INSIDE_LIFECYCLE,,1.1.0|1.2.1|1.3.0|2.0.0-M2,1.2.0|2.0.0-M3,4,3,2,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionary.java|openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/OracleDictionary.java
12421561,OPENJPA-1004,f21f7b5ae5d52a2897fc96916ef20fb6f0f541a8,2009-04-02T15:38:34Z,OPENJPA-1004: fix problems with IdClass which has a derived identity and the relation corresponding to the derived identity uses generatedKey,2009-03-30T16:06:33Z,2009-04-02T20:07:53Z,INSIDE_LIFECYCLE,,1.2.2|2.0.0-M2,2.0.0-M2,7,7,3,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractUpdateManager.java|openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PreparedStatementManagerImpl.java|openjpa-kernel/src/main/java/org/apache/openjpa/kernel/StateManagerImpl.java
12360647,OPENJPA-102,c7128669c7e1f439f45c62d07b58e8add38343d2,2007-01-17T21:40:37Z,fixes for OPENJPA-102 and OPENJPA-104,2007-01-17T04:07:30Z,2007-01-17T22:17:18Z,INSIDE_LIFECYCLE,,,0.9.7,5,5,5,openjpa-kernel/src/main/java/org/apache/openjpa/conf/AutoDetachValue.java|openjpa-kernel/src/main/java/org/apache/openjpa/kernel/AutoDetach.java|openjpa-kernel/src/main/java/org/apache/openjpa/kernel/BrokerImpl.java|openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DetachManager.java|openjpa-persistence/src/main/java/org/apache/openjpa/persistence/EntityManagerFactoryImpl.java
12421989,OPENJPA-1020,3320287392e035415d7867ac7312d9109d02306a,2010-01-04T21:17:35Z,OPENJPA-1020: fix class cast exception when retrieving eager persistent collection,2009-04-03T17:18:23Z,2010-03-09T14:36:29Z,INSIDE_LIFECYCLE,,1.2.1|2.0.0-M2,2.0.0-beta,4,4,1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreManager.java
12422203,OPENJPA-1025,14ae1c34cf1481607b2f321b625014fed59d6e29,2009-04-29T15:37:41Z,OPENJPA-1025 committing patch provided by B.J. Reed. Removin subList method from AbstractResultList forcing subclasses to override the method,2009-04-07T07:13:37Z,2009-04-30T15:45:38Z,INSIDE_LIFECYCLE,,1.2.1|1.3.0|2.0.0-M2,1.0.4|1.2.2|1.3.0|2.0.0-beta,8,8,4,openjpa-lib/src/main/java/org/apache/openjpa/lib/rop/AbstractNonSequentialResultList.java|openjpa-lib/src/main/java/org/apache/openjpa/lib/rop/AbstractResultList.java|openjpa-lib/src/main/java/org/apache/openjpa/lib/rop/LazyForwardResultList.java|openjpa-lib/src/main/java/org/apache/openjpa/lib/rop/ListResultList.java
12422304,OPENJPA-1028,2901ea6e52b348dde119185181c33a5038f47922,2009-04-08T22:06:56Z,OPENJPA-1028: fixed setMappedByValue when embeddable is involved.,2009-04-07T21:49:01Z,2009-04-10T23:20:23Z,INSIDE_LIFECYCLE,,2.0.0-M2,2.0.0-M2,5,5,1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationFieldStrategy.java
12422393,OPENJPA-1029,d9039ca64064c99558efd6db6d15c4028ad63236,2009-04-17T03:15:38Z,OPENJPA-1029 SQLServerDictionary updates contributed by Donald Woods,2009-04-08T18:47:28Z,2009-04-30T16:32:42Z,INSIDE_LIFECYCLE,,2.0.0-M2,1.0.4|1.2.2|1.3.0|2.0.0-M2,1,1,1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SQLServerDictionary.java
12360675,OPENJPA-103,bb7bf5940928786ce650ef9e3f6c0fb4c84d57ce,2007-01-17T22:46:39Z,Changes for JIRA OPENJPA-103 issue.,2007-01-17T17:08:31Z,2007-01-17T22:50:03Z,INSIDE_LIFECYCLE,,,0.9.7,1,1,1,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/XMLPersistenceMetaDataParser.java
