Project,Class,ReleaseIndex,LOC,LOC_TOUCHED,NR,NAUTH,LOC_ADDED,MAX_LOC_ADDED,AVG_LOC_ADDED,CHURN,MAX_CHURN,AVG_CHURN,CHANGE_SET_SIZE,MAX_CHANGE_SET,AVG_CHANGE_SET,AGE_WEEKS,WEIGHTED_AGE_WEEKS,IGNORED_ZERO_LOC_REVS,NSmells,NFIX,BUGGY
OPENJPA,openjpa-jdbc-5/src/main/java/org/apache/openjpa/jdbc/kernel/JDBC3SavepointManager.java,1,30,62,1,1,62,62,62.000000,62,62,62.000000,476,476,476.000000,5.428571,5.428571,1,0,0,NO
OPENJPA,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/MappingToolTask.java,1,105,218,3,2,215,211,71.666667,212,211,70.666667,584,476,194.666667,5.428571,5.328965,1,0,0,NO
OPENJPA,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/ReverseMappingToolTask.java,1,119,261,2,2,259,257,129.500000,257,257,128.500000,495,476,247.500000,5.428571,5.378216,1,0,0,NO
OPENJPA,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/FetchModeValue.java,1,21,50,2,1,50,49,25.000000,50,49,25.000000,479,476,239.500000,5.428571,5.405714,1,0,0,NO
OPENJPA,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfiguration.java,1,92,633,2,2,618,609,309.000000,603,609,301.500000,553,476,276.500000,5.428571,5.396073,1,0,0,NO
OPENJPA,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ConnectionInfo.java,1,9,238,8,1,135,35,16.875000,32,35,4.000000,3313,773,414.125000,14.857143,8.078031,1,0,0,NO
OPENJPA,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/DelegatingJDBCFetchConfiguration.java,1,179,245,3,2,244,233,81.333333,243,233,81.000000,691,476,230.333333,5.428571,5.370845,1,0,0,NO
OPENJPA,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCFetchConfiguration.java,1,32,176,3,2,174,164,58.000000,172,164,57.333333,691,476,230.333333,5.428571,5.355519,1,0,0,NO
OPENJPA,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCLockManager.java,1,9,46,1,1,46,46,46.000000,46,46,46.000000,476,476,476.000000,5.428571,5.428571,1,0,0,NO
OPENJPA,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCSeq.java,1,8,254,8,1,146,35,18.250000,38,35,4.750000,3313,773,414.125000,14.857143,7.972441,1,0,0,NO
OPENJPA,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PreparedStatementManager.java,1,8,270,8,1,157,40,19.625000,44,35,5.500000,3313,773,414.125000,14.857143,7.886243,1,0,0,NO
OPENJPA,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/UpdateManager.java,1,6,298,7,1,169,45,24.142857,40,45,5.714286,3018,773,431.142857,14.857143,8.015340,2,0,0,NO
OPENJPA,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/AbstractVal.java,1,43,97,4,2,86,61,21.500000,75,61,18.750000,731,476,182.750000,5.428571,4.291605,1,0,0,NO
OPENJPA,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/All.java,1,10,192,8,1,113,30,14.125000,34,30,4.250000,3313,773,414.125000,14.857143,8.105655,1,0,0,NO
OPENJPA,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Any.java,1,10,192,8,1,113,30,14.125000,34,30,4.250000,3313,773,414.125000,14.857143,8.105655,1,0,0,NO
OPENJPA,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Exp.java,1,18,100,3,2,86,83,28.666667,72,83,24.000000,704,476,234.666667,5.428571,4.864286,1,0,0,NO
OPENJPA,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/FilterValue.java,1,21,103,1,1,103,103,103.000000,103,103,103.000000,476,476,476.000000,5.428571,5.428571,1,0,0,NO
OPENJPA,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/GetColumn.java,1,40,80,1,1,80,80,80.000000,80,80,80.000000,476,476,476.000000,5.428571,5.428571,1,0,0,NO
OPENJPA,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCAggregateListener.java,1,10,42,1,1,42,42,42.000000,42,42,42.000000,476,476,476.000000,5.428571,5.428571,1,0,0,NO
OPENJPA,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCFilterListener.java,1,10,44,1,1,44,44,44.000000,44,44,44.000000,476,476,476.000000,5.428571,5.428571,1,0,0,NO
OPENJPA,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCPath.java,1,6,89,6,1,59,30,9.833333,29,30,4.833333,2528,773,421.333333,14.857143,9.786517,2,0,0,NO
OPENJPA,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SQLEmbed.java,1,35,72,2,2,70,69,35.000000,68,69,34.000000,566,476,283.000000,5.428571,5.244048,1,0,0,NO
OPENJPA,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ToLowerCase.java,1,19,211,4,1,130,57,32.500000,49,53,12.250000,2323,773,580.750000,6.571429,6.261341,1,0,0,NO
