ChronologicalIndex,JiraVersionId,Version,ReleaseDate,GitTag,GitTagMatched,ReleaseCommit,ReleaseCommitDate,ResolutionMethod,DatasetIncluded
1,"12312343","0.9.0",2006-08-26,"",false,"dc1f0bf2046cf08d9484a287dee02ff058961ca4","2006-08-26T18:59:34Z","DATE_CUTOFF",true
2,"12312342","0.9.6",2006-11-29,"",false,"ca45e3292a7520b58bf31adf2b4ac099ce6416d6","2006-11-29T00:28:04Z","DATE_CUTOFF",true
3,"12312340","0.9.7",2007-04-27,"",false,"43c931014a4719ccebab8e7cd6173d45ee6bcaaf","2007-04-27T20:46:03Z","DATE_CUTOFF",true
4,"12312341","1.0.0",2007-08-28,"1.0.0",true,"065d3e2f59afff648660be408f864eca30153054","2007-08-28T23:05:26Z","DATE_CUTOFF",true
5,"12312687","1.0.1",2007-11-09,"1.0.1",true,"2895819d406139b89d90f3a6ab650180560e03bd","2007-11-08T00:09:55Z","DATE_CUTOFF",true
6,"12312846","1.0.2",2008-02-18,"1.0.2",true,"a7648a78c557498082be8b00f6e637066223d5e0","2008-02-18T18:25:55Z","DATE_CUTOFF",true
7,"12312344","1.1.0",2008-05-22,"1.1.0",true,"81fc3ab6051257667d115e120de98ed650d4d54d","2008-05-22T23:55:49Z","DATE_CUTOFF",true
8,"12312969","1.0.3",2008-07-23,"1.0.3",true,"37d610ca2ccf499479ea0cfb36ca91fcc5e0946e","2008-07-23T18:20:25Z","DATE_CUTOFF",true
9,"12313102","1.2.0",2008-08-12,"1.2.0",true,"404cbbf99bad44d769250020bc38a2f499d152ea","2008-08-12T21:58:19Z","DATE_CUTOFF",true
10,"12313328","1.2.1",2009-03-18,"1.2.1",true,"2edc92d97f4aaf69897a14e45f2b6b2a18f9ca46","2009-03-18T15:18:44Z","DATE_CUTOFF",true
11,"12313681","1.2.2",2010-01-18,"1.2.2",true,"f877a44a6391005960ab3a1517e6d2f8ab781ac7","2010-01-18T22:24:44Z","DATE_CUTOFF",true
12,"12314019","2.0.0",2010-04-22,"2.0.0",true,"6bc7930a1477f98192c064ed402ef43587997087","2010-04-22T16:34:31Z","DATE_CUTOFF",true
13,"12314532","2.0.1",2010-08-30,"2.0.1",true,"7569f437dbee125c690ea52cc817d81356099294","2010-08-28T11:52:47Z","DATE_CUTOFF",false
14,"12313301","1.0.4",2010-09-03,"1.0.4",true,"7569f437dbee125c690ea52cc817d81356099294","2010-08-28T11:52:47Z","DATE_CUTOFF",false
15,"12314542","2.1.0",2011-02-21,"2.1.0",true,"b44614d94b13f90d879aff00d0c8bd62f368529f","2011-02-21T16:06:05Z","DATE_CUTOFF",false
16,"12316191","2.1.1",2011-07-25,"2.1.1",true,"868035a54084e33f89c91845308b8c5fc3cc4495","2011-07-25T17:51:41Z","DATE_CUTOFF",false
17,"12315910","2.2.0",2012-02-20,"2.2.0",true,"408d8b4463214053557a0722bf9d976feb6e60a2","2012-02-20T20:37:05Z","DATE_CUTOFF",false
18,"12319943","2.2.1",2012-11-01,"2.2.1",true,"2980c1901e31114fcd53d204b0786cf1d6ea3494","2012-10-31T19:45:06Z","DATE_CUTOFF",false
