ChronologicalIndex,JiraVersionId,Version,ReleaseDate,GitTag,GitTagMatched
1,"12312343","0.9.0",2006-08-26,"",false
2,"12312342","0.9.6",2006-11-29,"",false
3,"12312340","0.9.7",2007-04-27,"",false
4,"12312341","1.0.0",2007-08-28,"1.0.0",true
5,"12312687","1.0.1",2007-11-09,"1.0.1",true
6,"12312846","1.0.2",2008-02-18,"1.0.2",true
7,"12312344","1.1.0",2008-05-22,"1.1.0",true
8,"12312969","1.0.3",2008-07-23,"1.0.3",true
9,"12313102","1.2.0",2008-08-12,"1.2.0",true
10,"12313624","2.0.0-M1",2009-01-29,"",false
11,"12313328","1.2.1",2009-03-18,"1.2.1",true
12,"12313483","2.0.0-M2",2009-06-03,"",false
13,"12314148","2.0.0-M3",2009-10-12,"2.0.0-M3",true
14,"12313681","1.2.2",2010-01-18,"1.2.2",true
15,"12314149","2.0.0-beta",2010-01-28,"2.0.0-beta",true
16,"12314802","2.0.0-beta2",2010-02-27,"2.0.0-beta2",true
17,"12314857","2.0.0-beta3",2010-03-29,"2.0.0-beta3",true
18,"12314019","2.0.0",2010-04-22,"2.0.0",true
19,"12314532","2.0.1",2010-08-30,"2.0.1",true
20,"12313301","1.0.4",2010-09-03,"1.0.4",true
21,"12314542","2.1.0",2011-02-21,"2.1.0",true
22,"12316191","2.1.1",2011-07-25,"2.1.1",true
23,"12315910","2.2.0",2012-02-20,"2.2.0",true
24,"12319943","2.2.1",2012-11-01,"2.2.1",true
25,"12314517","1.2.3",2013-04-17,"1.2.3",true
26,"12323356","2.2.2",2013-04-22,"2.2.2",true
27,"12319463","2.3.0",2013-11-24,"2.3.0",true
28,"12325298","2.4.0",2015-04-22,"2.4.0",true
29,"12332295","2.4.1",2016-02-21,"2.4.1",true
30,"12334871","2.4.2",2017-01-03,"2.4.2",true
31,"12338939","2.4.3",2018-06-12,"2.4.3",true
32,"12338127","3.0.0",2018-06-12,"3.0.0",true
33,"12343421","3.1.0",2019-04-14,"3.1.0",true
34,"12345232","3.1.1",2020-02-03,"3.1.1",true
35,"12346990","3.1.2",2020-07-13,"3.1.2",true
36,"12348547","3.2.0",2021-05-14,"3.2.0",true
37,"12350116","3.2.1",2022-02-03,"3.2.1",true
38,"12351466","3.2.2",2022-03-16,"3.2.2",true
39,"12353166","4.0.0",2024-02-02,"4.0.0",true
40,"12354768","4.0.1",2024-09-19,"4.0.1",true
41,"12355113","4.1.0",2025-03-24,"4.1.0",true
42,"12355805","4.1.1",2025-05-15,"4.1.1",true
