Configuration,Classifier,Repetition,OOFPredictions,TP,FP,TN,FN,Precision,Recall,AUC,Kappa,NPofB20,TotalLOC,BudgetLOC,InspectedLOC,InspectedRows,BuggyFound,TotalBuggy
C1,RandomForest,1,12836,1454,274,10552,556,0.841435185185,0.723383084577,0.960186964678,0.740367157240,0.692537313433,1750165.000000000000,350033.000000000000,350572.000000000000,3135,1392,2010
C1,NaiveBayes,1,12836,746,694,10132,1264,0.518055555556,0.371144278607,0.805614891550,0.347119707809,0.198009950249,1750165.000000000000,350033.000000000000,350198.000000000000,934,398,2010
C1,IBk,1,12836,1298,670,10156,712,0.659552845528,0.645771144279,0.800297583760,0.588893394077,0.528855721393,1750165.000000000000,350033.000000000000,350390.000000000000,1703,1063,2010
C2,RandomForest,1,12836,1339,472,10354,671,0.739370513528,0.666169154229,0.941351229259,0.648721442654,0.672636815920,1750165.000000000000,350033.000000000000,350677.000000000000,2886,1352,2010
C2,NaiveBayes,1,12836,687,576,10250,1323,0.543942992874,0.341791044776,0.792322839893,0.340041014791,0.201492537313,1750165.000000000000,350033.000000000000,350180.000000000000,884,405,2010
C2,IBk,1,12836,1321,547,10279,689,0.707173447537,0.657213930348,0.905078064325,0.624655702260,0.632338308458,1750165.000000000000,350033.000000000000,350344.000000000000,2121,1271,2010
C3,RandomForest,1,12836,1601,426,10400,409,0.789837197829,0.796517412935,0.961606478967,0.754569182709,0.688557213930,1750165.000000000000,350033.000000000000,350045.000000000000,3546,1384,2010
C3,NaiveBayes,1,12836,802,769,10057,1208,0.510502864418,0.399004975124,0.806567982184,0.359985307550,0.209950248756,1750165.000000000000,350033.000000000000,350456.000000000000,1045,422,2010
C3,IBk,1,12836,1446,930,9896,564,0.608585858586,0.719402985075,0.823165577985,0.589772353308,0.561691542289,1750165.000000000000,350033.000000000000,350163.000000000000,1996,1129,2010
C4,RandomForest,1,12836,1533,665,10161,477,0.697452229299,0.762686567164,0.941675765823,0.675533769499,0.674626865672,1750165.000000000000,350033.000000000000,350357.000000000000,3075,1356,2010
C4,NaiveBayes,1,12836,762,701,10125,1248,0.520847573479,0.379104477612,0.792711116503,0.353525882672,0.247761194030,1750165.000000000000,350033.000000000000,350252.000000000000,1196,498,2010
C4,IBk,1,12836,1505,735,10091,505,0.671875000000,0.748756218905,0.907913830074,0.650553918706,0.640796019900,1750165.000000000000,350033.000000000000,350677.000000000000,2245,1288,2010
C1,RandomForest,2,12836,1445,270,10556,565,0.842565597668,0.718905472637,0.960521657370,0.738071544827,0.690547263682,1750165.000000000000,350033.000000000000,350191.000000000000,3137,1388,2010
C1,NaiveBayes,2,12836,747,694,10132,1263,0.518390006940,0.371641791045,0.804725173321,0.347602558639,0.197014925373,1750165.000000000000,350033.000000000000,350387.000000000000,929,396,2010
C1,IBk,2,12836,1298,680,10146,712,0.656218402427,0.645771144279,0.801127674945,0.586762953900,0.526368159204,1750165.000000000000,350033.000000000000,350088.000000000000,1705,1058,2010
C2,RandomForest,2,12836,1337,472,10354,673,0.739082365948,0.665174129353,0.940914125107,0.647958163962,0.675124378109,1750165.000000000000,350033.000000000000,350325.000000000000,2841,1357,2010
