"Feature","Correlation","Direction","SnapshotMutable"
"LOC","0.374815228649","POSITIVE","TRUE"
"LOC_TOUCHED","0.286854800040","POSITIVE","FALSE"
"NR","0.302814520580","POSITIVE","FALSE"
"NAUTH","0.278717565682","POSITIVE","FALSE"
"LOC_ADDED","0.314548839774","POSITIVE","FALSE"
"MAX_LOC_ADDED","0.347663410454","POSITIVE","FALSE"
"AVG_LOC_ADDED","0.204505436596","POSITIVE","FALSE"
"CHURN","0.363712485802","POSITIVE","FALSE"
"MAX_CHURN","0.346401186979","POSITIVE","FALSE"
"AVG_CHURN","0.191536458162","POSITIVE","FALSE"
"CHANGE_SET_SIZE","-0.118062727890","NEGATIVE","FALSE"
"MAX_CHANGE_SET","-0.126237216309","NEGATIVE","FALSE"
"AVG_CHANGE_SET","-0.384579880987","NEGATIVE","FALSE"
"AGE_WEEKS","-0.025929273952","NEGATIVE","FALSE"
"WEIGHTED_AGE_WEEKS","-0.069422400398","NEGATIVE","FALSE"
"IGNORED_ZERO_LOC_REVS","-0.187165586620","NEGATIVE","FALSE"
"NSmells","0.352745614334","POSITIVE","TRUE"
"NFIX","0.309766346418","POSITIVE","FALSE"
