"Feature","Correlation","AbsCorrelation","Direction"
"LOC","0,374815228649","0,374815228649","POSITIVE"
"LOC_TOUCHED","0,28685480004","0,28685480004","POSITIVE"
"NR","0,30281452058","0,30281452058","POSITIVE"
"NAUTH","0,278717565682","0,278717565682","POSITIVE"
"LOC_ADDED","0,314548839774","0,314548839774","POSITIVE"
"MAX_LOC_ADDED","0,347663410454","0,347663410454","POSITIVE"
"AVG_LOC_ADDED","0,204505436596","0,204505436596","POSITIVE"
"CHURN","0,363712485802","0,363712485802","POSITIVE"
"MAX_CHURN","0,346401186979","0,346401186979","POSITIVE"
"AVG_CHURN","0,191536458162","0,191536458162","POSITIVE"
"CHANGE_SET_SIZE","-0,11806272789","0,11806272789","NEGATIVE"
"MAX_CHANGE_SET","-0,126237216309","0,126237216309","NEGATIVE"
"AVG_CHANGE_SET","-0,384579880987","0,384579880987","NEGATIVE"
"AGE_WEEKS","-0,025929273952","0,025929273952","NEGATIVE"
"WEIGHTED_AGE_WEEKS","-0,069422400398","0,069422400398","NEGATIVE"
"IGNORED_ZERO_LOC_REVS","-0,18716558662","0,18716558662","NEGATIVE"
"NSmells","0,352745614334","0,352745614334","POSITIVE"
"NFIX","0,309766346418","0,309766346418","POSITIVE"
