"Variant","SourceSHA256","SonarAnalysisKey","SonarRevision","SonarAnalysisDate","IssueKey","Rule","Type","IssueStatus","Severity","MaintainabilitySeverity","Line","Message"
"C2","1503A8F2291221E5E55B02803695AC91B245BEC449467A7DDA4389EA2B8FCE13","70b8f94a-6eda-4fc3-97f6-33ccd599773b","0d04f3ff33ddf1b27d9227d01229932283bc765f","2026-08-28T16:11:06+0000","AaBJJyuWYKx8-rumvjxM","java:S6213","CODE_SMELL","OPEN","MAJOR","MEDIUM","690","Rename this method to not match a restricted identifier."
"C2","1503A8F2291221E5E55B02803695AC91B245BEC449467A7DDA4389EA2B8FCE13","70b8f94a-6eda-4fc3-97f6-33ccd599773b","0d04f3ff33ddf1b27d9227d01229932283bc765f","2026-08-28T16:11:06+0000","AaBJJyuWYKx8-rumvjxK","java:S1845","CODE_SMELL","OPEN","BLOCKER","BLOCKER","4554","Rename method ""getfield"" to prevent any misunderstanding/clash with method ""getField""."
"C2","1503A8F2291221E5E55B02803695AC91B245BEC449467A7DDA4389EA2B8FCE13","70b8f94a-6eda-4fc3-97f6-33ccd599773b","0d04f3ff33ddf1b27d9227d01229932283bc765f","2026-08-28T16:11:06+0000","AaBJJyuWYKx8-rumvjxP","java:S1905","CODE_SMELL","OPEN","MINOR","LOW","4677","Remove this unnecessary cast to ""String""."
"C2","1503A8F2291221E5E55B02803695AC91B245BEC449467A7DDA4389EA2B8FCE13","70b8f94a-6eda-4fc3-97f6-33ccd599773b","0d04f3ff33ddf1b27d9227d01229932283bc765f","2026-08-28T16:11:06+0000","AaBJJyuWYKx8-rumvjxQ","java:S1905","CODE_SMELL","OPEN","MINOR","LOW","4691","Remove this unnecessary cast to ""String""."
"C2","1503A8F2291221E5E55B02803695AC91B245BEC449467A7DDA4389EA2B8FCE13","70b8f94a-6eda-4fc3-97f6-33ccd599773b","0d04f3ff33ddf1b27d9227d01229932283bc765f","2026-08-28T16:11:06+0000","AaBJJyuWYKx8-rumvjxR","java:S106","CODE_SMELL","OPEN","MAJOR","MEDIUM","5520","Replace this use of System.err by a logger."
"C2","1503A8F2291221E5E55B02803695AC91B245BEC449467A7DDA4389EA2B8FCE13","70b8f94a-6eda-4fc3-97f6-33ccd599773b","0d04f3ff33ddf1b27d9227d01229932283bc765f","2026-08-28T16:11:06+0000","AaBJJyuWYKx8-rumvjxS","java:S1155","CODE_SMELL","OPEN","MINOR","LOW","5755","Use isEmpty() to check whether the collection is empty or not."
"C2","1503A8F2291221E5E55B02803695AC91B245BEC449467A7DDA4389EA2B8FCE13","70b8f94a-6eda-4fc3-97f6-33ccd599773b","0d04f3ff33ddf1b27d9227d01229932283bc765f","2026-08-28T16:11:06+0000","AaBJIMh7vHQDC_H9Co8I","java:S1066","CODE_SMELL","OPEN","MAJOR","MEDIUM","4121","Merge this if statement with the enclosing one."
"C2","1503A8F2291221E5E55B02803695AC91B245BEC449467A7DDA4389EA2B8FCE13","70b8f94a-6eda-4fc3-97f6-33ccd599773b","0d04f3ff33ddf1b27d9227d01229932283bc765f","2026-08-28T16:11:06+0000","AaAleRvSmNh_xRbasz57","java:S1181","CODE_SMELL","OPEN","MAJOR","MEDIUM","193","Catch Exception instead of Throwable."
"C2","1503A8F2291221E5E55B02803695AC91B245BEC449467A7DDA4389EA2B8FCE13","70b8f94a-6eda-4fc3-97f6-33ccd599773b","0d04f3ff33ddf1b27d9227d01229932283bc765f","2026-08-28T16:11:06+0000","AaAleRvSmNh_xRbasz59","java:S6355","CODE_SMELL","OPEN","MAJOR","MEDIUM","294","Add 'since' and/or 'forRemoval' arguments to the @Deprecated annotation."
"C2","1503A8F2291221E5E55B02803695AC91B245BEC449467A7DDA4389EA2B8FCE13","70b8f94a-6eda-4fc3-97f6-33ccd599773b","0d04f3ff33ddf1b27d9227d01229932283bc765f","2026-08-28T16:11:06+0000","AaAleRvSmNh_xRbasz5-","java:S6355","CODE_SMELL","OPEN","MAJOR","MEDIUM","370","Add 'since' and/or 'forRemoval' arguments to the @Deprecated annotation."
