"Variant","Transition","IssueKey","Rule","C0Line","VariantLine","Message"
"C1","NEW_VS_C0","AaBJIMh7vHQDC_H9Co8I","java:S1066","","4123","Merge this if statement with the enclosing one."
"C1","NEW_VS_C0","AaBJIMh7vHQDC_H9Co8R","java:S1905","","4679","Remove this unnecessary cast to ""String""."
"C1","NEW_VS_C0","AaBJIMh7vHQDC_H9Co8S","java:S1905","","4693","Remove this unnecessary cast to ""String""."
"C1","RESOLVED_FROM_C0","AaAleRvSmNh_xRbasz5R","java:S1066","4091","","Merge this if statement with the enclosing one."
"C1","RESOLVED_FROM_C0","AaAleRvSmNh_xRbasz58","java:S108","186","","Remove this block of code, fill it in, or add a comment explaining why it is empty."
"C1","RESOLVED_FROM_C0","AaAleRvSmNh_xRbasz6W","java:S108","2997","","Remove this block of code, fill it in, or add a comment explaining why it is empty."
"C1","RESOLVED_FROM_C0","AaAleRvSmNh_xRbasz6Y","java:S108","3003","","Remove this block of code, fill it in, or add a comment explaining why it is empty."
"C1","RESOLVED_FROM_C0","AaAleRvSmNh_xRbasz6I","java:S1155","818","","Use isEmpty() to check whether the collection is empty or not."
"C1","RESOLVED_FROM_C0","AaAleRvSmNh_xRbasz6n","java:S1155","5725","","Use isEmpty() to check whether the collection is empty or not."
"C1","RESOLVED_FROM_C0","AaAKIzZERXPx87p8Mp0j","java:S116","198","","Rename this field ""_repos"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
"C1","RESOLVED_FROM_C0","AaAKIzZERXPx87p8Mp0k","java:S116","199","","Rename this field ""_meta"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
"C1","RESOLVED_FROM_C0","AaAKIzZERXPx87p8Mp0l","java:S116","200","","Rename this field ""_log"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
"C1","RESOLVED_FROM_C0","AaAKIzZERXPx87p8Mp0n","java:S116","219","","Rename this field ""_defCons"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
"C1","RESOLVED_FROM_C0","AaAKIzZERXPx87p8Mp0o","java:S116","222","","Rename this field ""_fail"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
"C1","RESOLVED_FROM_C0","AaAKIzZERXPx87p8Mp0q","java:S116","224","","Rename this field ""_dir"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
"C1","RESOLVED_FROM_C0","AaAKIzZERXPx87p8Mp0r","java:S116","225","","Rename this field ""_writer"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
"C1","RESOLVED_FROM_C0","AaAKIzZERXPx87p8Mp0t","java:S116","223","","Rename this field ""_violations"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
"C1","RESOLVED_FROM_C0","AaAleRvSmNh_xRbasz52","java:S116","226","","Rename this field ""_backingFields"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
"C1","RESOLVED_FROM_C0","AaAleRvSmNh_xRbasz53","java:S116","227","","Rename this field ""_attrsToFields"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
"C1","RESOLVED_FROM_C0","AaAleRvSmNh_xRbasz54","java:S116","228","","Rename this field ""_fieldsToAttrs"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
"C1","RESOLVED_FROM_C0","AaAleRvSmNh_xRbasz55","java:S116","233","","Rename this field ""_optimizeIdCopy"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
"C1","RESOLVED_FROM_C0","AaALJJ9gKije7nS94ker","java:S116","220","","Rename this field ""_redefine"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
"C1","RESOLVED_FROM_C0","AaALJJ9gKije7nS94kes","java:S116","221","","Rename this field ""_subclass"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
"C1","RESOLVED_FROM_C0","AaALJJ9gKije7nS94kew","java:S116","229","","Rename this field ""_isAlreadyRedefined"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
"C1","RESOLVED_FROM_C0","AaALJJ9gKije7nS94kex","java:S116","230","","Rename this field ""_isAlreadySubclassed"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
"C1","RESOLVED_FROM_C0","AaALJJ9gKije7nS94key","java:S116","231","","Rename this field ""_bcsConfigured"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
"C1","RESOLVED_FROM_C0","AaAKIzZERXPx87p8Mp0O","java:S1192","1243","","Define a constant instead of duplicating this literal ""<init>"" 22 times."
"C1","RESOLVED_FROM_C0","AaAleRvSmNh_xRbasz50","java:S1192","3551","","Define a constant instead of duplicating this literal ""writeObject"" 6 times."
"C1","RESOLVED_FROM_C0","AaAleRvSmNh_xRbasz51","java:S1192","3813","","Define a constant instead of duplicating this literal ""GetDetachedState"" 5 times."
"C1","RESOLVED_FROM_C0","AaAleRvSmNh_xRbasz5d","java:S1192","3341","","Define a constant instead of duplicating this literal ""FieldFlags"" 3 times."
"C1","RESOLVED_FROM_C0","AaAleRvSmNh_xRbasz5e","java:S1192","3569","","Define a constant instead of duplicating this literal ""readObject"" 6 times."
"C1","RESOLVED_FROM_C0","AaAleRvSmNh_xRbasz5f","java:S1192","1449","","Define a constant instead of duplicating this literal ""CopyKeyFieldsFromObjectId"" 5 times."
"C1","RESOLVED_FROM_C0","AaAleRvSmNh_xRbasz5g","java:S1192","4809","","Define a constant instead of duplicating this literal ""readExternalFields"" 3 times."
"C1","RESOLVED_FROM_C0","AaAleRvSmNh_xRbasz5h","java:S1192","5040","","Define a constant instead of duplicating this literal ""writeExternalFields"" 3 times."
"C1","RESOLVED_FROM_C0","AaAleRvSmNh_xRbasz5i","java:S1192","340","","Define a constant instead of duplicating this literal ""$pcsubclass"" 3 times."
"C1","RESOLVED_FROM_C0","AaAleRvSmNh_xRbasz5j","java:S1192","4771","","Define a constant instead of duplicating this literal ""ReadUnmanaged"" 3 times."
"C1","RESOLVED_FROM_C0","AaAleRvSmNh_xRbasz5k","java:S1192","3337","","Define a constant instead of duplicating this literal ""FieldNames"" 3 times."
"C1","RESOLVED_FROM_C0","AaAleRvSmNh_xRbasz5l","java:S1192","3106","","Define a constant instead of duplicating this literal ""GetIDOwningClass"" 3 times."
"C1","RESOLVED_FROM_C0","AaAleRvSmNh_xRbasz5m","java:S1192","4709","","Define a constant instead of duplicating this literal ""readExternal"" 3 times."
"C1","RESOLVED_FROM_C0","AaAleRvSmNh_xRbasz5n","java:S1192","4041","","Define a constant instead of duplicating this literal ""<clinit>"" 3 times."
"C1","RESOLVED_FROM_C0","AaAleRvSmNh_xRbasz5o","java:S1192","2216","","Define a constant instead of duplicating this literal ""getId"" 21 times."
"C1","RESOLVED_FROM_C0","AaAleRvSmNh_xRbasz5p","java:S1192","2145","","Define a constant instead of duplicating this literal ""NewObjectIdInstance"" 4 times."
"C1","RESOLVED_FROM_C0","AaAleRvSmNh_xRbasz5q","java:S1192","4075","","Define a constant instead of duplicating this literal ""clone"" 4 times."
"C1","RESOLVED_FROM_C0","AaAleRvSmNh_xRbasz5s","java:S1192","3680","","Define a constant instead of duplicating this literal ""SetDetachedState"" 4 times."
"C1","RESOLVED_FROM_C0","AaAleRvSmNh_xRbasz5t","java:S1192","2360","","Define a constant instead of duplicating this literal ""findField"" 4 times."
"C1","RESOLVED_FROM_C0","AaAleRvSmNh_xRbasz5u","java:S1192","3339","","Define a constant instead of duplicating this literal ""FieldTypes"" 3 times."
"C1","RESOLVED_FROM_C0","AaAleRvSmNh_xRbasz5v","java:S1192","1464","","Define a constant instead of duplicating this literal ""GetManagedFieldCount"" 3 times."
"C1","RESOLVED_FROM_C0","AaAleRvSmNh_xRbasz5w","java:S1192","1342","","Define a constant instead of duplicating this literal ""ClearFields"" 3 times."
"C1","RESOLVED_FROM_C0","AaAleRvSmNh_xRbasz5x","java:S1192","2105","","Define a constant instead of duplicating this literal ""CopyKeyFieldsToObjectId"" 4 times."
"C1","RESOLVED_FROM_C0","AaAleRvSmNh_xRbasz5y","java:S1192","4983","","Define a constant instead of duplicating this literal ""WriteUnmanaged"" 3 times."
"C1","RESOLVED_FROM_C0","AaAleRvSmNh_xRbasz5z","java:S1192","4713","","Define a constant instead of duplicating this literal ""writeExternal"" 3 times."
"C1","RESOLVED_FROM_C0","AaAleRvSmNh_xRbasz6E","java:S1659","705","","Declare ""setter"" on a separate line."
"C1","RESOLVED_FROM_C0","AaAleRvSmNh_xRbasz6F","java:S1659","706","","Declare ""assigned"" on a separate line."
"C1","RESOLVED_FROM_C0","AaAleRvSmNh_xRbasz6K","java:S1659","919","","Declare ""earlierInsn"" on a separate line."
"C1","RESOLVED_FROM_C0","AaAleRvSmNh_xRbasz56","java:S1845","4524","","Rename method ""getfield"" to prevent any misunderstanding/clash with method ""getField""."
"C1","RESOLVED_FROM_C0","AaAleRvSmNh_xRbasz6g","java:S1905","4647","","Remove this unnecessary cast to ""String""."
"C1","RESOLVED_FROM_C0","AaAleRvSmNh_xRbasz6h","java:S1905","4661","","Remove this unnecessary cast to ""String""."
"C1","RESOLVED_FROM_C0","AaAleRvSmNh_xRbasz6D","java:S6213","663","","Rename this method to not match a restricted identifier."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp2V","java:S106","5490","5522","Replace this use of System.err by a logger."
