"Variant","Rule","Status"
"C1","java:S108","REMOVED"
"C1","java:S1155","REMOVED"
"C1","java:S1659","REMOVED"
"C1","java:S1845","REMOVED"
"C1","java:S106","RETAINED"
"C1","java:S1066","RETAINED"
"C1","java:S112","RETAINED"
"C1","java:S1123","RETAINED"
"C1","java:S1133","RETAINED"
"C1","java:S1135","RETAINED"
"C1","java:S116","RETAINED"
"C1","java:S1168","RETAINED"
"C1","java:S1172","RETAINED"
"C1","java:S1181","RETAINED"
"C1","java:S1192","RETAINED"
"C1","java:S1199","RETAINED"
"C1","java:S125","RETAINED"
"C1","java:S128","RETAINED"
"C1","java:S131","RETAINED"
"C1","java:S135","RETAINED"
"C1","java:S1488","RETAINED"
"C1","java:S1905","RETAINED"
"C1","java:S1940","RETAINED"
"C1","java:S2447","RETAINED"
"C1","java:S3776","RETAINED"
"C1","java:S3878","RETAINED"
"C1","java:S6213","RETAINED"
"C1","java:S6355","RETAINED"
"C2","java:S116","REMOVED"
"C2","java:S1659","REMOVED"
"C2","java:S106","RETAINED"
"C2","java:S1066","RETAINED"
"C2","java:S108","RETAINED"
"C2","java:S112","RETAINED"
"C2","java:S1123","RETAINED"
"C2","java:S1133","RETAINED"
"C2","java:S1135","RETAINED"
"C2","java:S1155","RETAINED"
"C2","java:S1168","RETAINED"
"C2","java:S1172","RETAINED"
"C2","java:S1181","RETAINED"
"C2","java:S1192","RETAINED"
"C2","java:S1199","RETAINED"
"C2","java:S125","RETAINED"
"C2","java:S128","RETAINED"
"C2","java:S131","RETAINED"
"C2","java:S135","RETAINED"
"C2","java:S1488","RETAINED"
"C2","java:S1845","RETAINED"
"C2","java:S1905","RETAINED"
"C2","java:S1940","RETAINED"
"C2","java:S2447","RETAINED"
"C2","java:S3776","RETAINED"
"C2","java:S3878","RETAINED"
"C2","java:S6213","RETAINED"
"C2","java:S6355","RETAINED"
"C3","java:S1133","REMOVED"
"C3","java:S1135","REMOVED"
"C3","java:S116","REMOVED"
"C3","java:S1659","REMOVED"
"C3","java:S6355","REMOVED"
"C3","java:S106","RETAINED"
"C3","java:S1066","RETAINED"
"C3","java:S108","RETAINED"
"C3","java:S112","RETAINED"
"C3","java:S1123","RETAINED"
"C3","java:S1155","RETAINED"
"C3","java:S1168","RETAINED"
"C3","java:S1172","RETAINED"
"C3","java:S1181","RETAINED"
"C3","java:S1192","RETAINED"
"C3","java:S1199","RETAINED"
"C3","java:S125","RETAINED"
"C3","java:S128","RETAINED"
"C3","java:S131","RETAINED"
"C3","java:S135","RETAINED"
"C3","java:S1488","RETAINED"
"C3","java:S1845","RETAINED"
"C3","java:S1905","RETAINED"
"C3","java:S1940","RETAINED"
"C3","java:S2447","RETAINED"
"C3","java:S3776","RETAINED"
"C3","java:S3878","RETAINED"
"C3","java:S6213","RETAINED"
"C4","java:S116","REMOVED"
"C4","java:S1659","REMOVED"
"C4","java:S106","RETAINED"
"C4","java:S1066","RETAINED"
"C4","java:S108","RETAINED"
"C4","java:S112","RETAINED"
"C4","java:S1123","RETAINED"
"C4","java:S1133","RETAINED"
"C4","java:S1135","RETAINED"
"C4","java:S1155","RETAINED"
"C4","java:S1168","RETAINED"
"C4","java:S1172","RETAINED"
"C4","java:S1181","RETAINED"
"C4","java:S1192","RETAINED"
"C4","java:S1199","RETAINED"
"C4","java:S125","RETAINED"
"C4","java:S128","RETAINED"
"C4","java:S131","RETAINED"
"C4","java:S135","RETAINED"
"C4","java:S1488","RETAINED"
"C4","java:S1845","RETAINED"
"C4","java:S1905","RETAINED"
"C4","java:S1940","RETAINED"
"C4","java:S2447","RETAINED"
"C4","java:S3776","RETAINED"
"C4","java:S3878","RETAINED"
"C4","java:S6213","RETAINED"
"C4","java:S6355","RETAINED"
