"Rule","C0","C1","C2","C3","C4","C1Delta","C2Delta","C3Delta","C4Delta"
"java:S106","1","1","1","1","1","0","0","0","0"
"java:S1066","1","1","1","1","1","0","0","0","0"
"java:S108","3","0","2","2","2","-3","-1","-1","-1"
"java:S112","1","1","1","1","1","0","0","0","0"
"java:S1123","1","1","1","1","1","0","0","0","0"
"java:S1133","1","1","1","0","1","0","0","-1","0"
"java:S1135","1","1","1","0","1","0","0","-1","0"
"java:S1155","2","0","1","1","1","-2","-1","-1","-1"
"java:S116","18","1","0","0","0","-17","-18","-18","-18"
"java:S1168","5","5","5","5","5","0","0","0","0"
"java:S1172","1","1","1","1","1","0","0","0","0"
"java:S1181","4","4","4","4","4","0","0","0","0"
"java:S1192","26","1","1","26","26","-25","-25","0","0"
"java:S1199","6","6","6","6","6","0","0","0","0"
"java:S125","75","75","75","75","75","0","0","0","0"
"java:S128","7","7","7","7","7","0","0","0","0"
"java:S131","2","2","2","2","2","0","0","0","0"
"java:S135","2","2","2","2","2","0","0","0","0"
"java:S1488","2","2","2","2","2","0","0","0","0"
"java:S1659","3","0","0","0","0","-3","-3","-3","-3"
"java:S1845","1","0","1","1","1","-1","0","0","0"
"java:S1905","2","2","2","2","2","0","0","0","0"
"java:S1940","1","1","1","1","1","0","0","0","0"
"java:S2447","2","2","2","2","2","0","0","0","0"
"java:S3776","14","14","14","14","14","0","0","0","0"
"java:S3878","4","4","3","3","4","0","-1","-1","0"
"java:S6213","2","1","2","2","2","-1","0","0","0"
"java:S6355","2","2","2","0","2","0","0","-2","0"
