"ReleaseIndex","Version","CommitId","Class","SonarPath","IssueKey","Rule","Type","LegacySeverity","MaintainabilitySeverity","Line","Status","CleanCodeAttribute","CleanCodeAttributeCategory","Message"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-kernel/src/main/java/org/apache/openjpa/abstractstore/AbstractStoreBrokerFactory.java","src/main/java/org/apache/openjpa/abstractstore/AbstractStoreBrokerFactory.java","AaAKIzZyRXPx87p8Mp21","java:S116","CODE_SMELL","MINOR","LOW","60","OPEN","IDENTIFIABLE","CONSISTENT","Rename this field ""_storeCls"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-kernel/src/main/java/org/apache/openjpa/abstractstore/AbstractStoreBrokerFactory.java","src/main/java/org/apache/openjpa/abstractstore/AbstractStoreBrokerFactory.java","AaAKIzZyRXPx87p8Mp22","java:S116","CODE_SMELL","MINOR","LOW","61","OPEN","IDENTIFIABLE","CONSISTENT","Rename this field ""_storeProps"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-kernel/src/main/java/org/apache/openjpa/abstractstore/AbstractStoreBrokerFactory.java","src/main/java/org/apache/openjpa/abstractstore/AbstractStoreBrokerFactory.java","AaAKIzZyRXPx87p8Mp23","java:S116","CODE_SMELL","MINOR","LOW","62","OPEN","IDENTIFIABLE","CONSISTENT","Rename this field ""_platform"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-kernel/src/main/java/org/apache/openjpa/abstractstore/AbstractStoreBrokerFactory.java","src/main/java/org/apache/openjpa/abstractstore/AbstractStoreBrokerFactory.java","AaAKIzZyRXPx87p8Mp24","java:S1161","CODE_SMELL","MAJOR","MEDIUM","116","OPEN","CLEAR","INTENTIONAL","Add the ""@Override"" annotation above this method signature"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-kernel/src/main/java/org/apache/openjpa/abstractstore/AbstractStoreManager.java","src/main/java/org/apache/openjpa/abstractstore/AbstractStoreManager.java","AaAKIzZ6RXPx87p8Mp26","java:S3038","CODE_SMELL","MINOR","LOW","212","OPEN","CLEAR","INTENTIONAL","""initialize"" is defined in the ""StoreManager"" interface and can be removed from this class."
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-kernel/src/main/java/org/apache/openjpa/abstractstore/AbstractStoreManager.java","src/main/java/org/apache/openjpa/abstractstore/AbstractStoreManager.java","AaAKIzZ6RXPx87p8Mp27","java:S3038","CODE_SMELL","MINOR","LOW","224","OPEN","CLEAR","INTENTIONAL","""load"" is defined in the ""StoreManager"" interface and can be removed from this class."
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-kernel/src/main/java/org/apache/openjpa/abstractstore/AbstractStoreManager.java","src/main/java/org/apache/openjpa/abstractstore/AbstractStoreManager.java","AaAKIzZ6RXPx87p8Mp25","java:S1596","CODE_SMELL","MINOR","LOW","272","OPEN","CONVENTIONAL","CONSISTENT","Replace ""Collections.EMPTY_LIST"" by ""Collections.emptyList()""."
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-kernel/src/main/java/org/apache/openjpa/abstractstore/AbstractStoreManager.java","src/main/java/org/apache/openjpa/abstractstore/AbstractStoreManager.java","AaAKIzZ6RXPx87p8Mp28","java:S3038","CODE_SMELL","MINOR","LOW","379","OPEN","CLEAR","INTENTIONAL","""executeExtent"" is defined in the ""StoreManager"" interface and can be removed from this class."
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-kernel/src/main/java/org/apache/openjpa/abstractstore/AbstractStoreManager.java","src/main/java/org/apache/openjpa/abstractstore/AbstractStoreManager.java","AaAKIzZ6RXPx87p8Mp29","java:S1905","CODE_SMELL","MINOR","LOW","402","OPEN","CLEAR","INTENTIONAL","Remove this unnecessary cast to ""Comparable""."
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","openjpa-kernel/src/main/java/org/apache/openjpa/ant/MetaDataToolTask.java","src/main/java/org/apache/openjpa/ant/MetaDataToolTask.java","AaAKIzaBRXPx87p8Mp2-","java:S106","CODE_SMELL","MAJOR","MEDIUM","69","OPEN","MODULAR","ADAPTABLE","Replace this use of System.out by a logger."
