"ReleaseIndex","Version","CommitId","PomCount","SourceLevels","TargetLevels","JdkProfiles","ModuleCount","GeneratorPlugins","UnversionedPlugins","ExplicitPlugins"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","11","1.3 | 1.4 | 1.5","1.3 | 1.4 | 1.5","jdk1.4 | jdk1.5","10","javacc-maven-plugin=<UNVERSIONED> | maven-antrun-plugin=<UNVERSIONED> | maven-compiler-plugin=<UNVERSIONED> | maven-javadoc-plugin=<UNVERSIONED>","javacc-maven-plugin | maven-antrun-plugin | maven-assembly-plugin | maven-compiler-plugin | maven-jar-plugin | maven-javadoc-plugin | maven-project-info-reports-plugin | maven-resources-plugin | maven-surefire-plugin | taglist-maven-plugin","maven-site-plugin=2.0-beta-5"
"2","0.9.6","ca45e3292a7520b58bf31adf2b4ac099ce6416d6","12","1.4 | 1.5","1.4 | 1.5","jdk1.5","11","build-helper-maven-plugin=<UNVERSIONED> | javacc-maven-plugin=<UNVERSIONED> | maven-antrun-plugin=<UNVERSIONED> | maven-compiler-plugin=<UNVERSIONED> | maven-javadoc-plugin=2.1","build-helper-maven-plugin | javacc-maven-plugin | maven-antrun-plugin | maven-assembly-plugin | maven-compiler-plugin | maven-jar-plugin | maven-project-info-reports-plugin | maven-resources-plugin | maven-surefire-plugin | taglist-maven-plugin","maven-jar-plugin=2.1 | maven-javadoc-plugin=2.1 | maven-site-plugin=2.0-beta-5"
"3","0.9.7","43c931014a4719ccebab8e7cd6173d45ee6bcaaf","15","1.4 | 1.5","1.4 | 1.5","jdk1.5","14","build-helper-maven-plugin=<UNVERSIONED> | javacc-maven-plugin=<UNVERSIONED> | maven-antrun-plugin=<UNVERSIONED> | maven-compiler-plugin=<UNVERSIONED> | maven-javadoc-plugin=2.2","build-helper-maven-plugin | javacc-maven-plugin | maven-antrun-plugin | maven-assembly-plugin | maven-compiler-plugin | maven-jar-plugin | maven-project-info-reports-plugin | maven-resources-plugin | maven-surefire-plugin | taglist-maven-plugin","docbkx-maven-plugin=4.4 | maven-jar-plugin=2.1 | maven-javadoc-plugin=2.2 | maven-site-plugin=2.0-beta-5 | maven-surefire-plugin=2.2"
"4","1.0.0","065d3e2f59afff648660be408f864eca30153054","15","1.4 | 1.5","1.4 | 1.5","jdk1.5","14","build-helper-maven-plugin=<UNVERSIONED> | javacc-maven-plugin=<UNVERSIONED> | maven-antrun-plugin=<UNVERSIONED> | maven-compiler-plugin=<UNVERSIONED> | maven-javadoc-plugin=2.2","build-helper-maven-plugin | javacc-maven-plugin | maven-antrun-plugin | maven-assembly-plugin | maven-compiler-plugin | maven-jar-plugin | maven-project-info-reports-plugin | maven-resources-plugin | maven-surefire-plugin | rat-maven-plugin | taglist-maven-plugin","docbkx-maven-plugin=4.4 | maven-jar-plugin=2.1 | maven-javadoc-plugin=2.2 | maven-site-plugin=2.0-beta-5 | maven-surefire-plugin=2.2"
"5","1.0.1","2895819d406139b89d90f3a6ab650180560e03bd","16","1.4 | 1.5","1.4 | 1.5","jdk1.5","15","build-helper-maven-plugin=<UNVERSIONED> | javacc-maven-plugin=2.1 | maven-antrun-plugin=<UNVERSIONED> | maven-compiler-plugin=<UNVERSIONED> | maven-javadoc-plugin=2.2","build-helper-maven-plugin | maven-antrun-plugin | maven-assembly-plugin | maven-compiler-plugin | maven-jar-plugin | maven-project-info-reports-plugin | maven-resources-plugin | maven-surefire-plugin | rat-maven-plugin | taglist-maven-plugin","docbkx-maven-plugin=4.4 | javacc-maven-plugin=2.1 | maven-jar-plugin=2.1 | maven-javadoc-plugin=2.2 | maven-site-plugin=2.0-beta-5 | maven-surefire-plugin=2.2"
"6","1.0.2","a7648a78c557498082be8b00f6e637066223d5e0","17","1.4 | 1.5","1.4 | 1.5","jdk1.5","16","build-helper-maven-plugin=<UNVERSIONED> | javacc-maven-plugin=2.1 | maven-antrun-plugin=<UNVERSIONED> | maven-compiler-plugin=<UNVERSIONED> | maven-javadoc-plugin=2.2","build-helper-maven-plugin | maven-antrun-plugin | maven-assembly-plugin | maven-compiler-plugin | maven-jar-plugin | maven-project-info-reports-plugin | maven-resources-plugin | maven-surefire-plugin | rat-maven-plugin | taglist-maven-plugin","docbkx-maven-plugin=4.4 | javacc-maven-plugin=2.1 | maven-jar-plugin=2.1 | maven-javadoc-plugin=2.2 | maven-site-plugin=2.0-beta-5"
"7","1.1.0","81fc3ab6051257667d115e120de98ed650d4d54d","14","1.5","1.5","","13","build-helper-maven-plugin=<UNVERSIONED> | javacc-maven-plugin=2.1 | maven-antrun-plugin=<UNVERSIONED> | maven-compiler-plugin=<UNVERSIONED> | maven-javadoc-plugin=2.2 | maven-javadoc-plugin=2.4","build-helper-maven-plugin | maven-antrun-plugin | maven-assembly-plugin | maven-compiler-plugin | maven-jar-plugin | maven-project-info-reports-plugin | maven-resources-plugin | maven-source-plugin | maven-surefire-plugin | rat-maven-plugin | taglist-maven-plugin","docbkx-maven-plugin=4.4 | javacc-maven-plugin=2.1 | maven-jar-plugin=2.1 | maven-jar-plugin=2.2 | maven-javadoc-plugin=2.2 | maven-javadoc-plugin=2.4 | maven-site-plugin=2.0-beta-5 | maven-surefire-plugin=2.4 | rat-maven-plugin=1.0-alpha-1"
"8","1.0.3","37d610ca2ccf499479ea0cfb36ca91fcc5e0946e","14","1.5","1.5","","13","javacc-maven-plugin=2.1 | maven-antrun-plugin=<UNVERSIONED> | maven-compiler-plugin=<UNVERSIONED> | maven-javadoc-plugin=2.2 | maven-javadoc-plugin=2.4","maven-antrun-plugin | maven-assembly-plugin | maven-compiler-plugin | maven-jar-plugin | maven-project-info-reports-plugin | maven-resources-plugin | maven-source-plugin | maven-surefire-plugin | rat-maven-plugin | taglist-maven-plugin","docbkx-maven-plugin=2.0.7 | javacc-maven-plugin=2.1 | maven-gpg-plugin=1.0-alpha-3 | maven-jar-plugin=2.1 | maven-jar-plugin=2.2 | maven-javadoc-plugin=2.2 | maven-javadoc-plugin=2.4 | maven-release-plugin=2.0-beta-7 | maven-site-plugin=2.0-beta-5 | maven-surefire-plugin=2.4 | rat-maven-plugin=1.0-alpha-3"
"9","1.2.0","404cbbf99bad44d769250020bc38a2f499d152ea","14","1.5","1.5","","13","javacc-maven-plugin=2.1 | maven-antrun-plugin=<UNVERSIONED> | maven-compiler-plugin=<UNVERSIONED> | maven-javadoc-plugin=2.2 | maven-javadoc-plugin=2.4","maven-antrun-plugin | maven-assembly-plugin | maven-compiler-plugin | maven-jar-plugin | maven-project-info-reports-plugin | maven-resources-plugin | maven-source-plugin | maven-surefire-plugin | rat-maven-plugin | taglist-maven-plugin","docbkx-maven-plugin=2.0.7 | javacc-maven-plugin=2.1 | maven-gpg-plugin=1.0-alpha-3 | maven-jar-plugin=2.1 | maven-jar-plugin=2.2 | maven-javadoc-plugin=2.2 | maven-javadoc-plugin=2.4 | maven-release-plugin=2.0-beta-7 | maven-site-plugin=2.0-beta-5 | maven-surefire-plugin=2.4 | rat-maven-plugin=1.0-alpha-3"
"10","1.2.1","2edc92d97f4aaf69897a14e45f2b6b2a18f9ca46","14","1.5","1.5","","13","javacc-maven-plugin=2.4 | maven-antrun-plugin=<UNVERSIONED> | maven-antrun-plugin=1.3 | maven-compiler-plugin=<UNVERSIONED> | maven-compiler-plugin=2.0.2 | maven-javadoc-plugin=<UNVERSIONED> | maven-javadoc-plugin=2.2 | maven-javadoc-plugin=2.4","ianal-maven-plugin | maven-antrun-plugin | maven-assembly-plugin | maven-compiler-plugin | maven-gpg-plugin | maven-jar-plugin | maven-javadoc-plugin | maven-project-info-reports-plugin | maven-release-plugin | maven-resources-plugin | maven-site-plugin | maven-source-plugin | maven-surefire-plugin | rat-maven-plugin | taglist-maven-plugin","docbkx-maven-plugin=2.0.7 | ianal-maven-plugin=1.0-alpha-1 | javacc-maven-plugin=2.4 | maven-antrun-plugin=1.3 | maven-assembly-plugin=2.2-beta-3 | maven-compiler-plugin=2.0.2 | maven-gpg-plugin=1.0-alpha-4 | maven-jar-plugin=2.1 | maven-javadoc-plugin=2.2 | maven-javadoc-plugin=2.4 | maven-project-info-reports-plugin=2.1 | maven-release-plugin=2.0-beta-7 | maven-resources-plugin=2.3 | maven-site-plugin=2.0-beta-7 | maven-source-plugin=2.0.4 | maven-surefire-plugin=2.4 | rat-maven-plugin=1.0-alpha-3 | taglist-maven-plugin=2.3"
