"ReleaseIndex","Version","TagAvailable","AllJavaChangedPaths","CutoffProductionChangedPaths","ExactAllJavaTreeMatch","ExactCutoffProductionMatch","DetailFile"
"1","0.9.0","False","","","False","False",""
"2","0.9.6","False","","","False","False",""
"3","0.9.7","False","","","False","False",""
"4","1.0.0","True","46","31","False","False","C:\ISW2\openjpa\isw2\results\sonar\tag-java-diffs\release_4_1.0.0_java_diff.txt"
"5","1.0.1","True","188","105","False","False","C:\ISW2\openjpa\isw2\results\sonar\tag-java-diffs\release_5_1.0.1_java_diff.txt"
"6","1.0.2","True","1041","214","False","False","C:\ISW2\openjpa\isw2\results\sonar\tag-java-diffs\release_6_1.0.2_java_diff.txt"
"7","1.1.0","True","92","69","False","False","C:\ISW2\openjpa\isw2\results\sonar\tag-java-diffs\release_7_1.1.0_java_diff.txt"
"8","1.0.3","True","1274","323","False","False","C:\ISW2\openjpa\isw2\results\sonar\tag-java-diffs\release_8_1.0.3_java_diff.txt"
"9","1.2.0","True","79","19","False","False","C:\ISW2\openjpa\isw2\results\sonar\tag-java-diffs\release_9_1.2.0_java_diff.txt"
"10","1.2.1","True","942","432","False","False","C:\ISW2\openjpa\isw2\results\sonar\tag-java-diffs\release_10_1.2.1_java_diff.txt"
"11","1.2.2","True","2309","777","False","False","C:\ISW2\openjpa\isw2\results\sonar\tag-java-diffs\release_11_1.2.2_java_diff.txt"
"12","2.0.0","True","26","11","False","False","C:\ISW2\openjpa\isw2\results\sonar\tag-java-diffs\release_12_2.0.0_java_diff.txt"
