"ReleaseIndex","Version","ReleaseCommit","GitTag","TagExists","TagCommit","ExactTagCommitMatch"
"1","0.9.0","dc1f0bf2046cf08d9484a287dee02ff058961ca4","","False","","False"
"2","0.9.6","ca45e3292a7520b58bf31adf2b4ac099ce6416d6","","False","","False"
"3","0.9.7","43c931014a4719ccebab8e7cd6173d45ee6bcaaf","","False","","False"
"4","1.0.0","065d3e2f59afff648660be408f864eca30153054","1.0.0","True","6bd68255cfd6dc3ef168e566bbfc7d12667e9566","False"
"5","1.0.1","2895819d406139b89d90f3a6ab650180560e03bd","1.0.1","True","dab9ad72ad8643c9975df247830d9c228eebb374","False"
"6","1.0.2","a7648a78c557498082be8b00f6e637066223d5e0","1.0.2","True","769364b1938f7f3a9bd1067ba871d0c36b3c927a","False"
"7","1.1.0","81fc3ab6051257667d115e120de98ed650d4d54d","1.1.0","True","d5ddfa4180285c04764788e09aa06d3323d5487c","False"
"8","1.0.3","37d610ca2ccf499479ea0cfb36ca91fcc5e0946e","1.0.3","True","943fb0c61966277756c27b410c48f2392f20a213","False"
"9","1.2.0","404cbbf99bad44d769250020bc38a2f499d152ea","1.2.0","True","df585211bbe6f76732f5a4b9d586a7c0dd0b2a1e","False"
"10","1.2.1","2edc92d97f4aaf69897a14e45f2b6b2a18f9ca46","1.2.1","True","26dbc39431ad73a66752053fb278bb5027edc07e","False"
"11","1.2.2","f877a44a6391005960ab3a1517e6d2f8ab781ac7","1.2.2","True","9d34ef9dfc27f9fd5e712e1afe7f3ac25d119675","False"
"12","2.0.0","6bc7930a1477f98192c064ed402ef43587997087","2.0.0","True","3c6051729cc63ac2daccb67569882c5857488496","False"
