IssueKey,FixCommitId,Status,EvidenceRows,FixedFiles,BugIntroducingCommits,BlamedLines,SameIssueFixRowsSkipped,SameIssueFixBlamedLinesSkipped
"OPENJPA-100","6055a34b4215b472dce012d28ead7a2a7c6f8f19",EVIDENCE,1,1,1,1,0,0
"OPENJPA-1002","09859699f9087e5d7200999cb8eae48bc04aa201",EVIDENCE,11,2,10,34,0,0
"OPENJPA-1002","e4b87fd6b34dfb2b508b387bf8e365507509eb4f",EVIDENCE,1,1,1,7,0,0
"OPENJPA-1004","f21f7b5ae5d52a2897fc96916ef20fb6f0f541a8",EVIDENCE,2,2,2,2,0,0
"OPENJPA-102","c7128669c7e1f439f45c62d07b58e8add38343d2",EVIDENCE,3,3,2,3,0,0
"OPENJPA-1020","3320287392e035415d7867ac7312d9109d02306a",EVIDENCE,1,1,1,1,0,0
"OPENJPA-1025","14ae1c34cf1481607b2f321b625014fed59d6e29",EVIDENCE,2,1,2,4,0,0
"OPENJPA-1028","2901ea6e52b348dde119185181c33a5038f47922",EVIDENCE,2,1,2,2,0,0
"OPENJPA-1029","d9039ca64064c99558efd6db6d15c4028ad63236",EVIDENCE,2,1,2,31,0,0
"OPENJPA-103","bb7bf5940928786ce650ef9e3f6c0fb4c84d57ce",EVIDENCE,4,1,4,10,0,0
"OPENJPA-1039","21b41a50fe101d6003fac68b940032dd9bc1f0f9",EVIDENCE,1,1,1,2,0,0
"OPENJPA-104","c7128669c7e1f439f45c62d07b58e8add38343d2",EVIDENCE,3,3,2,3,0,0
"OPENJPA-1041","0daf1bffc8bef922263cee1cb5da605137fdcba1",EVIDENCE,3,3,3,6,0,0
"OPENJPA-1049","861db8ddd022c1b27c9ab3bf36df80cf5517c046",EVIDENCE,1,1,1,1,0,0
"OPENJPA-1051","862edc8fe177faede47a4ea09f7c3cdb9a4abff7",EVIDENCE,3,3,2,6,0,0
"OPENJPA-1051","93ae72d15f2b767c41ffc4458d95d4c64e3cc74d",EVIDENCE,1,1,1,1,2,35
"OPENJPA-1051","9a7bab2a6a54849fe98de374be278f3c303e68ec",NO_EVIDENCE,0,0,0,0,1,11
"OPENJPA-1051","9c275904f3a7a6f7f5740cf641bf7fcccb710186",EVIDENCE,10,10,5,43,2,8
